Datum;WK;Level;Waffe;Visier;Ringe;Zeit;Veranstaltung;Bemerkung
2017-03-01;Speed;VM;PPQ;Offen;187;70;Magnum-Pokal;
2017-09-01;Speed;VM;PPQ;Offen;185;70;Magnum-Pokal;
2018-01-13;IPSC;LM;Xesse;Offen;0;0;Landesmeisterschaft NRW KK-Pistole;Disqualifiziert
2018-01-22;Mehrdistanz;VM;Xesse;Offen;357;0;Magnum-Pokal;
2018-01-30;Kombi;BM;Xesse;Offen;357;51;BM Kurzwaffe 2018;
2018-01-30;Mehrdistanz;BM;Xesse;Offen;358;51;BM Kurzwaffe 2018;
2018-02-15;Präzision;BM;Xesse;RedDot;187;51;BM Kurzwaffe 2018;
2018-01-30;Präzision;BM;Xesse;Offen;189;51;BM Kurzwaffe 2018;
2018-01-30;Speed;BM;Xesse;Offen;259;51;BM Kurzwaffe 2018;
2018-02-15;Kombi;BM;Xesse;RedDot;358;51;BM Kurzwaffe 2018;
2018-02-01;Speed;VM;Xesse;RedDot;265;50;Magnum-Pokal;
2018-03-04;Mehrdistanz;VM;Xesse;Offen;380;0;Magnum-Pokal;
2018-04-01;Speed;VM;Xesse;Offen;213;50;Magnum-Pokal;
2018-05-01;Speed-Steel;VM;Ruger;RedDot;0;0;Shootoff Speed Steel;Kannte die Sportordnung nicht, dadurch viele Ablauffehler.
2018-06-01;IPSC;VM;Xesse;Offen;0;0;Quick'n Dirty Bonn;
2018-06-01;Kombi;LM;Xesse;Offen;346;0;LM Kurzwaffe 2018;Waffenstörung
2018-06-01;Kombi;LM;Xesse;RedDot;365;0;LM Kurzwaffe 2018;Waffenstörung
2018-06-01;Mehrdistanz;LM;Xesse;Offen;368;0;LM Kurzwaffe 2018;Waffenstörung
2018-06-01;Präzision;LM;Xesse;RedDot;186;0;LM Kurzwaffe 2018;Waffenstörung
2018-06-01;Präzision;LM;Xesse;Offen;185;0;LM Kurzwaffe 2018;Waffenstörung
2018-06-01;Speed;LM;Xesse;Offen;249;44;Landesmeisterschaft;Waffenstörung
2018-06-01;Speed;VM;Xesse;Offen;234;50;Magnum-Pokal;
2018-07-08;Mehrdistanz;VM;PPQ;Offen;347;0;Magnum-Pokal;
2018-07-08;Mehrdistanz;VM;Xesse;Offen;375;0;Magnum-Pokal;
2018-07-24;Präzision;BM;Xesse;Offen;189;0;Pokalschießen Hückelhoven;
2018-07-24;Speed;BM;Ruger;RedDot;279;38;Preisschießen Hückelhoven;
2018-07-24;Speed;BM;Xesse;Offen;253;51;Preisschießen Hückelhoven;Waffenstörung
2018-08-07;Speed;VM;PPQ;Offen;184;50;Magnum-Pokal;
2018-08-07;Speed;VM;Xesse;Offen;249;50;Magnum-Pokal;Waffenstörung
2018-09-01;Kombi;DM;Xesse;Offen;367;51;DM Kurzwaffe 2018;
2018-09-01;Kombi;DM;Xesse;RedDot;361;51;DM Kurzwaffe 2018;
2018-09-01;Mehrdistanz;DM;Xesse;Offen;375;51;DM Kurzwaffe 2018;
2018-09-01;Präzision;DM;Xesse;RedDot;188;51;DM Kurzwaffe 2018;
2018-09-01;Speed;DM;Xesse;Offen;237;54;DM 2018;Waffenstörung
2018-10-12;Speed;VM;HPS;Offen;228;51;Magnum-Pokal;177 Punkte 3 Fehlschüsse
2018-10-12;Speed;VM;Xesse;Offen;240;50;Magnum-Pokal;190 Punkte 3 Fehlschüsse
2018-10-13;Präzision;VM;Xesse;Offen;181;0;VM Hückelhoven;
2018-10-13;Präzision;VM;HPS;Offen;172;0;VM Hückelhoven;
