Trainingstyp;Datum;Disziplin;Schuss;Waffe;Visier;Entf;Anschlag;Resultat;Zeit;10.0;10.5.;10a0;10a5;L;L/250;Abstand;Kommentar
SCATT;12.11.2017;Speed;20;Xesse;Offen;10;Stehend, Beide;9,6;4,4;33,0;16,5;43,0;21,5;140,7;143,6;;
SCATT;15.11.2017;Speed;20;Xesse;Offen;10;Stehend, Beide;9,8;3,5;33,0;16,5;60,0;30,0;116,3;128,1;;
SCATT;18.11.2017;Speed;20;Xesse;Offen;10;Stehend, Beide;9,4;7,1;25,0;12,5;68,0;34,0;109,0;101,6;;
SCATT;22.11.2017;Präzision;20;Xesse;Offen;10;Stehend, Rechts;8,6;5,8;13,0;6,5;35,0;17,5;145,9;140,8;;
SCATT;24.11.2017;Speed;30;Xesse;Offen;25;Stehend, Beide;9,3;2,5;34,0;17,0;48,0;24,0;617,0;429,0;;
SCATT;25.11.2017;Präzision;20;Xesse;Offen;10;Stehend, Rechts;8,7;5,5;17,0;8,5;41,0;20,5;138,9;134,8;;
SCATT;11.12.2017;Präzision;20;Xesse;Offen;10;Stehend, Beide;8,3;4,1;14,0;7,0;58,0;29,0;100,9;100,5;;
SCATT;11.12.2017;Speed;30;Xesse;Offen;25;Stehend, Beide;9,6;2,7;41,0;20,5;51,0;25,5;592,9;546,2;;
SCATT;11.12.2017;Speed;30;Xesse;Offen;25;Stehend, Beide;9,4;2,6;40,0;20,0;60,0;30,0;597,0;526,0;;
SCATT;11.12.2017;Speed;30;Xesse;Offen;25;Stehend, Beide;8,8;2,7;37,0;18,5;64,0;32,0;623,0;631,0;;
SCATT;11.12.2017;Präzision;20;Xesse;Offen;10;Stehend, links;8,0;4,7;6,0;3,0;19,0;9,5;188,1;175,6;;
SCATT;11.12.2017;Präzision;20;Xesse;Offen;10;Stehend, Rechts;8,4;6,8;8,0;4,0;45,0;22,5;141,0;136,2;;
